,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,c1,c2,c3,c4,o1,outside
0,"(1, 0)","(0.6922010401567693, 0.30779895984323075)","(0.8732633933311361, 0.1267366066688639)","(0.9600772353397823, 0.03992276466021776)","(0.9872977925750215, 0.012702207424978509)","(0.9740001660276792, 0.025999833972320713)","(0.9954139822229566, 0.004586017777043351)","(0.6320732949188523, 0.36792670508114766)","(0.9390628075130981, 0.060937192486901846)","(0.9999994529582412, 5.470417587506199e-07)","(0.9989383338088108, 0.001061666191189147)","(0.0030587850915566595, 0.9969412149084433)","(0.9678923909972318, 0.03210760900276821)","(0.9708343227627803, 0.0291656772372198)","(0.9997030096556924, 0.0002969903443076842)","(0.9998761810406857, 0.0001238189593144031)","(0.983311095200067, 0.016688904799933003)","(0.96747041374487, 0.03252958625513)","(1, 0)","(0.9307316215952018, 0.06926837840479819)","(0.9655790273144069, 0.03442097268559309)","(0.013983189746352931, 0.9860168102536471)","(0.9758165013251542, 0.024183498674845854)","(0.9638919650242329, 0.03610803497576714)","(0.9948446085425839, 0.00515539145741603)","(0.8985702687731945, 0.10142973122680549)","(0.8596068505918449, 0.1403931494081551)","(0.9669937511057166, 0.033006248894283406)","(0.9426828733952142, 0.057317126604785794)","(0.9265645378599701, 0.07343546214002997)","(0.9993446678306473, 0.000655332169352614)","(0.7438238318633321, 0.25617616813666794)","(0.9621873496794516, 0.03781265032054839)","(0.9932941764451796, 0.006705823554820359)","(0.8712319233306709, 0.12876807666932916)","(0.9988710790713583, 0.0011289209286416942)","(0.9480192240957424, 0.05198077590425768)","(0.5239146027432153, 0.4760853972567846)","(1.0, 0.0)","(0.9956490590250069, 0.004350940974993162)","(0.0005633036254475421, 0.9994366963745525)"
1,"(1, 0)","(0.5658190979989453, 0.4341809020010547)","(0.7458986177088354, 0.25410138229116463)","(0.9322506796852865, 0.06774932031471345)","(0.9874347997236476, 0.01256520027635241)","(0.9605957397159995, 0.03940426028400044)","(0.9924692047747532, 0.007530795225246791)","(0.5881290281595283, 0.4118709718404717)","(0.86302381870158, 0.1369761812984201)","(0.9999989097964684, 1.0902035315932307e-06)","(0.9986261695191931, 0.0013738304808068808)","(0.0035689211727338854, 0.9964310788272661)","(0.9496416564594442, 0.0503583435405558)","(0.9288648940084038, 0.07113510599159625)","(0.9995768509532679, 0.0004231490467321561)","(0.9998663138895674, 0.00013368611043266415)","(0.9721530325145116, 0.027846967485488427)","(0.9057428886224521, 0.09425711137754791)","(1, 0)","(0.7906708965708485, 0.20932910342915143)","(0.9222139451706255, 0.07778605482937448)","(0.046499704392071406, 0.9535002956079286)","(0.9580487142194744, 0.0419512857805257)","(0.9626567847234117, 0.03734321527658834)","(0.2273401082918829, 0.7726598917081171)","(0.9103364380804649, 0.08966356191953508)","(0.7107146436098617, 0.28928535639013836)","(0.9510825856132866, 0.048917414386713334)","(0.9117788437675401, 0.0882211562324599)","(0.8788423252330076, 0.12115767476699237)","(0.9994867415712682, 0.0005132584287318696)","(0.5760917825305194, 0.42390821746948065)","(0.9186145284378029, 0.0813854715621971)","(0.9909275010880806, 0.009072498911919422)","(0.7726151309604196, 0.2273848690395804)","(0.9982594461871547, 0.0017405538128453444)","(0.9042530369911229, 0.09574696300887713)","(0.9569524815617241, 0.043047518438275936)","(0.9999978056104764, 2.1943895236541325e-06)","(0.9945702870241666, 0.005429712975833357)","(0.0008955100094794055, 0.9991044899905206)"
2,"(1, 0)","(0.501363018769013, 0.498636981230987)","(0.6275778226859399, 0.3724221773140601)","(0.9176762294344628, 0.08232377056553715)","(0.9882761463110205, 0.011723853688979512)","(0.9526010736598345, 0.04739892634016554)","(0.9884968221396198, 0.01150317786038023)","(0.5773236392623324, 0.4226763607376676)","(0.8002005826387073, 0.19979941736129275)","(0.9999985857588929, 1.4142411071288086e-06)","(0.998689981318866, 0.0013100186811340335)","(0.003374965699480037, 0.99662503430052)","(0.9396775992265324, 0.06032240077346758)","(0.8723266465373992, 0.1276733534626008)","(0.9993953486000619, 0.0006046513999381009)","(0.9998879108720604, 0.00011208912793953384)","(0.9626864187070223, 0.03731358129297773)","(0.8162786903878287, 0.1837213096121712)","(1, 0)","(0.5697655818473288, 0.43023441815267116)","(0.8759240358214105, 0.12407596417858947)","(0.1147010147672528, 0.8852989852327472)","(0.9449967719539072, 0.055003228046092825)","(0.9624890827029885, 0.03751091729701147)","(0.015954376824906635, 0.9840456231750934)","(0.8841061750602152, 0.11589382493978483)","(0.5702189550663274, 0.42978104493367264)","(0.9433156679541614, 0.056684332045838545)","(0.8896026117080299, 0.11039738829197013)","(0.846094355007058, 0.15390564499294201)","(0.9996097395070733, 0.0003902604929266603)","(0.4538238302065998, 0.5461761697934002)","(0.8786753115375376, 0.12132468846246232)","(0.9899661964281686, 0.010033803571831338)","(0.6949949995793634, 0.30500500042063655)","(0.9977765332347741, 0.0022234667652258457)","(0.8507154711483575, 0.14928452885164248)","(0.9836833862145389, 0.01631661378546117)","(0.9999971802517483, 2.8197482517215832e-06)","(0.9950103818835172, 0.004989618116482753)","(0.001025430596045207, 0.9989745694039548)"
3,"(1, 0)","(0.46552219970270614, 0.5344778002972939)","(0.5244326792786524, 0.47556732072134755)","(0.9098319765837148, 0.09016802341628515)","(0.9871841972830585, 0.012815802716941445)","(0.9379647021035642, 0.06203529789643582)","(0.987609791260143, 0.012390208739856969)","(0.5724962851502997, 0.42750371484970023)","(0.8165385734615903, 0.18346142653840966)","(0.9999988918348527, 1.1081651473275562e-06)","(0.9989461707131952, 0.0010538292868047772)","(0.0024257717367422993, 0.9975742282632577)","(0.9342552100371093, 0.06574478996289063)","(0.800132649673222, 0.19986735032677808)","(0.9991520139627702, 0.00084798603722985)","(0.9999329468454466, 6.70531545533984e-05)","(0.951647072400862, 0.048352927599137965)","(0.6488378475858985, 0.3511621524141015)","(0.9988582919219074, 0.0011417080780925985)","(0.27359799513555716, 0.7264020048644428)","(0.8619459304235597, 0.13805406957644026)","(0.27130974214010173, 0.7286902578598983)","(0.9355236658847009, 0.06447633411529903)","(0.9623559358590607, 0.037644064140939314)","(0.0041692882579255075, 0.9958307117420745)","(0.837263555216627, 0.162736444783373)","(0.438791021297683, 0.561208978702317)","(0.9395827816980186, 0.06041721830198141)","(0.8719245521346318, 0.12807544786536815)","(0.8227002468748985, 0.17729975312510143)","(0.9996955641017539, 0.0003044358982461061)","(0.3568153747731593, 0.6431846252268407)","(0.8494382829355155, 0.1505617170644845)","(0.9894206513172702, 0.010579348682729828)","(0.632623336947201, 0.36737666305279904)","(0.9973447050845917, 0.0026552949154082517)","(0.8089355579403638, 0.19106444205963627)","(1, 0)","(0.9999893377055652, 1.0662294434830972e-05)","(0.9966305195978448, 0.0033694804021552776)","(0.0010317877520749086, 0.9989682122479251)"
4,"(1, 0)","(0.44523397059467573, 0.5547660294053243)","(0.438675299345066, 0.561324700654934)","(0.906069712494323, 0.09393028750567703)","(0.9896677804440482, 0.01033221955595174)","(0.9279892263971761, 0.07201077360282399)","(0.9878189058352653, 0.01218109416473463)","(0.5718635418231877, 0.42813645817681234)","(0.7661218293062539, 0.23387817069374603)","(0.9999984761914109, 1.5238085890806535e-06)","(0.9990452445426059, 0.0009547554573940949)","(0.001987255873736604, 0.9980127441262634)","(0.9333520881615853, 0.06664791183841462)","(0.7131782390629704, 0.28682176093702966)","(0.9988217675267269, 0.0011782324732730635)","(0.9999552575411834, 4.474245881653869e-05)","(0.929579081692168, 0.070420918307832)","(0.4788761140828238, 0.5211238859171762)","(0.999076030558945, 0.0009239694410549998)","(1, 0)","(0.8200105722132832, 0.17998942778671675)","(0.5079732488060122, 0.4920267511939877)","(0.9289072782387694, 0.07109272176123063)","(0.962186209728143, 0.0378137902718571)","(0.0034736039661306117, 0.9965263960338694)","(0.7735698701679355, 0.22643012983206445)","(0.3086988968298834, 0.6913011031701166)","(0.9378595089532725, 0.06214049104672748)","(0.8572377862114803, 0.14276221378851975)","(0.8054389652984131, 0.19456103470158687)","(0.9997583900699653, 0.00024160993003470875)","(0.2746595688037692, 0.7253404311962308)","(0.8344632952887419, 0.16553670471125811)","(0.989053339316784, 0.01094666068321606)","(0.5815911769770931, 0.41840882302290694)","(0, 1)","(0, 1)","(0.9819066761703229, 0.018093323829677068)","(0.9999978431390728, 2.1568609272266295e-06)","(0.9965102299514766, 0.003489770048523302)","(0.0009820089446885838, 0.9990179910553114)"
5,"(1, 0)","(0.4340316555235413, 0.5659683444764587)","(0.32061133967427113, 0.6793886603257289)","(0.9035660225280507, 0.09643397747194925)","(0.9880623493584687, 0.011937650641531253)","(0.9408806273872609, 0.05911937261273909)","(0.9682245836840232, 0.03177541631597679)","(0.5695887431570037, 0.4304112568429963)","(0.7336170277038249, 0.26638297229617514)","(0.9999966097563674, 3.390243632616131e-06)","(0.9979465766856059, 0.0020534233143940624)","(0.001837888238347074, 0.9981621117616529)","(0.9339829740841312, 0.06601702591586876)","(0.6148230529277097, 0.3851769470722903)","(0.9994105857644512, 0.0005894142355488234)","(0.9998760513197978, 0.00012394868020211086)","(0.9431820286577673, 0.05681797134223269)","(0.3324101214323233, 0.6675898785676767)","(0.9974429384002882, 0.0025570615997117596)","(0.9438311131892538, 0.05616888681074616)","(0.766926699538053, 0.23307330046194694)","(0.7716392183737487, 0.22836078162625126)","(0.9247365300422595, 0.07526346995774043)","(0.9619963311865649, 0.038003668813435115)","(0.002179665088856253, 0.9978203349111437)","(0.5850106006000312, 0.4149893993999688)","(0.1964133761249527, 0.8035866238750473)","(0.974354167008119, 0.02564583299188091)","(0.9279673374614176, 0.07203266253858247)","(0.7923530769460699, 0.20764692305393007)","(0.9998082458024248, 0.0001917541975752405)","(0.20101475667609303, 0.798985243323907)","(0.8344070975585097, 0.16559290244149028)","(0.959792836638752, 0.040207163361247994)","(0.5582111091832658, 0.4417888908167343)","(0, 1)","(0, 1)","(1, 0)","(0.9999650921222694, 3.490787773058626e-05)","(0.9966826878090376, 0.003317312190962461)","(0.0009339187229008283, 0.9990660812770992)"
6,"(1, 0)","(0.43000189343450923, 0.5699981065654908)","(0.23918197372743166, 0.7608180262725683)","(0.9017449313375085, 0.0982550686624915)","(0.9880754912578164, 0.011924508742183672)","(0.9515596597178549, 0.04844034028214502)","(0.9721364138823215, 0.027863586117678526)","(0.5676370142320987, 0.43236298576790133)","(0.7108566297152636, 0.28914337028473636)","(0.999996864933463, 3.1350665370856637e-06)","(0.9975545991587712, 0.002445400841228824)","(0.0025257192852183863, 0.9974742807147816)","(0.9365725992781151, 0.06342740072188494)","(0.5113269537371037, 0.4886730462628963)","(0.9993498113182265, 0.0006501886817735111)","(0.9998877536482909, 0.00011224635170913154)","(0.9531900920878116, 0.04680990791218839)","(0.211633762803347, 0.788366237196653)","(0.9971611776457261, 0.002838822354273953)","(0.8193639007502482, 0.1806360992497518)","(0.7083732731865825, 0.2916267268134175)","(0.8690622115021722, 0.13093778849782775)","(0.9227616739272287, 0.07723832607277129)","(0.9617353675402961, 0.038264632459703865)","(0.5707242245341779, 0.429275775465822)","(0, 1)","(0, 1)","(0.9818956150793173, 0.018104384920682653)","(0.9440617418647634, 0.05593825813523652)","(0.7865754375560202, 0.21342456244397975)","(0.9998454034165417, 0.00015459658345826787)","(0.1360284894288728, 0.8639715105711272)","(0.8470995496730713, 0.15290045032692867)","(0.9236498990165591, 0.0763501009834408)","(0.5414444930455766, 0.4585555069544234)","(0, 1)","(0, 1)","(0.9842968029860515, 0.015703197013948476)","(0.9999861713657473, 1.3828634252684014e-05)","(1, 0)","(0.0009007554096444048, 0.9990992445903556)"
7,"(0.9984978095884737, 0.0015021904115263473)","(0.43057769361711495, 0.569422306382885)","(1, 0)","(0.9004447785680376, 0.09955522143196233)","(0.9913602440074188, 0.008639755992581195)","(0.9188182695222578, 0.08118173047774228)","(0.9774254120644875, 0.022574587935512463)","(0.5661752536329991, 0.4338247463670009)","(0.6955825766538675, 0.30441742334613253)","(0.9999959798949075, 4.0201050924351675e-06)","(0.9973903859628791, 0.0026096140371209067)","(0.004278108433545702, 0.9957218915664543)","(0.9410003343965313, 0.0589996656034687)","(0.41018910064264824, 0.5898108993573518)","(0.9986659292470624, 0.0013340707529375868)","(0.9998967353488105, 0.00010326465118953024)","(0.9583117177005598, 0.04168828229944016)","(0.23548566281500627, 0.7645143371849937)","(0.9977461997472394, 0.0022538002527605116)","(0.622098823912568, 0.37790117608743207)","(0.6784116814396081, 0.32158831856039194)","(0.9536535581036086, 0.046346441896391345)","(0.9228846298149835, 0.07711537018501641)","(0.9613717838385446, 0.038628216161455356)","(0.9545663672139896, 0.04543363278601041)","(0.019029107849487414, 0.9809708921505126)","(0.008027537535484686, 0.9919724624645153)","(0.95672124963129, 0.04327875036871001)","(0.9665573879021518, 0.03344261209784819)","(0.7832023053266642, 0.21679769467333576)","(0.9998925209240653, 0.00010747907593462148)","(0.05595128953986839, 0.9440487104601316)","(0.8710366676119482, 0.12896333238805183)","(0.8798906683239418, 0.1201093316760582)","(0.6273981878128292, 0.37260181218717076)","(0, 1)","(0, 1)","(0.985640075133429, 0.014359924866571002)","(0.9999445465430432, 5.5453456956769955e-05)","(0, 1)","(0.000888920608829058, 0.9991110793911709)"
8,"(1, 0)","(0.4187200620432363, 0.5812799379567637)","(0.8579100721314216, 0.14208992786857844)","(0.8995198375783761, 0.10048016242162394)","(0.176963333845777, 0.823036666154223)","(0.786659037378987, 0.21334096262101293)","(0.975987339644577, 0.02401266035542301)","(0.5107862338112448, 0.48921376618875523)","(0.7352031503706977, 0.26479684962930233)","(0.9999850044538697, 1.4995546130239484e-05)","(0.996159152061177, 0.0038408479388230164)","(0.005477510532238106, 0.9945224894677619)","(0.9504126764719154, 0.04958732352808462)","(0.3182623672866568, 0.6817376327133432)","(0.9952613772900689, 0.004738622709931071)","(0.999897373707386, 0.00010262629261399108)","(0.9661643291101901, 0.03383567088980988)","(0.44791089038952214, 0.5520891096104779)","(0.9981258366001917, 0.0018741633998082615)","(0.4811840820841815, 0.5188159179158185)","(0.7537558841001043, 0.24624411589989573)","(0.9674136935279986, 0.032586306472001426)","(0.9250695283381255, 0.07493047166187447)","(0.960862577612557, 0.039137422387443034)","(0.9889352517549796, 0.011064748245020361)","(0.025316201626792934, 0.9746837983732071)","(0.008103194209008513, 0.9918968057909915)","(0.8517288551965392, 0.14827114480346085)","(0.9918091883432132, 0.008190811656786794)","(0.7818288410098452, 0.21817115899015485)","(0.9998985355165256, 0.00010146448347442254)","(0.03225244965803964, 0.9677475503419604)","(0.8977010731121331, 0.10229892688786692)","(0.8281661039052068, 0.17183389609479316)","(0.8173614505078203, 0.1826385494921797)","(0.461377450976006, 0.538622549023994)","(0.11058792555024999, 0.88941207444975)","(0.47631784935146537, 0.5236821506485346)","(0.9980456003208112, 0.0019543996791887017)","(0, 1)","(0.0008974844507155799, 0.9991025155492844)"
9,"(1, 0)","(0.48033521467661155, 0.5196647853233884)","(0.7641793374719316, 0.23582066252806846)","(0.8114177823046623, 0.18858221769533767)","(0.9497745195828854, 0.05022548041711461)","(0.5190144947081969, 0.48098550529180306)","(0.971175070693185, 0.028824929306814972)","(0.5330931945569595, 0.4669068054430406)","(0.7152540543216064, 0.28474594567839356)","(0.9999829642448183, 1.703575518175701e-05)","(0.996418792332295, 0.0035812076677050296)","(0.006233185433496491, 0.9937668145665035)","(0.956216118758125, 0.04378388124187509)","(0.23972161298472416, 0.7602783870152758)","(0.991580318009823, 0.008419681990176908)","(0.9999185010046986, 8.149899530142926e-05)","(0.9579414266670141, 0.042058573332985905)","(0.6498331041589213, 0.35016689584107874)","(0.9983524433780844, 0.00164755662191566)","(0.2815854461272085, 0.7184145538727915)","(0.7999463003115135, 0.20005369968848655)","(0.9634851546962827, 0.03651484530371734)","(0.9292916682275756, 0.07070833177242446)","(0.9601446047904141, 0.03985539520958587)","(0.9921087997185581, 0.007891200281441874)","(0.04245301075625374, 0.9575469892437463)","(0.007811450120789876, 0.9921885498792101)","(0.5418395005147478, 0.4581604994852521)","(0.9858008157956366, 0.014199184204363379)","(0.7819692234309028, 0.21803077656909714)","(0.9999005344748214, 9.946552517860775e-05)","(0.02483658379862541, 0.9751634162013746)","(0.9184546122328107, 0.08154538776718932)","(0.8542469564495487, 0.1457530435504513)","(0.8967681815252599, 0.10323181847474011)","(0.8470440375459554, 0.1529559624540447)","(0.2471180553726161, 0.7528819446273839)","(0.15695455631598854, 0.8430454436840115)","(0.9895268040424003, 0.010473195957599652)","(0, 1)","(0.0009121699651595261, 0.9990878300348405)"
