,previous_room,current_room,"(1, 1)","(1, 0)","(0, 1)","(0, 0)"
0,r2,r1,0.590769231,0.409230769,0.563373494,0.436626506
1,r7,r1,0.61218986,0.38781014,0.413919414,0.586080586
2,r4,r1,0.712842713,0.287157287,0.507908612,0.492091388
3,r3,r1,0.543438078,0.456561922,0.586494689,0.413505311
4,r1,r2,0.138133725,0.861866275,0.131857555,0.868142445
5,r4,r2,0.155844156,0.844155844,0.127123609,0.872876391
6,r3,r2,0.125693161,0.874306839,0.14339909,0.85660091
7,r8,r2,0.070967742,0.929032258,0.13986637,0.86013363
8,c1,r3,0.465448315,0.534551685,0.411402157,0.588597843
9,r2,r3,0.418461538,0.581538462,0.455903614,0.544096386
10,r1,r3,0.436443791,0.563556209,0.469682387,0.530317613
11,r7,r3,0.423408846,0.576591154,0.543956044,0.456043956
12,r2,r4,0.323076923,0.676923077,0.283373494,0.716626506
13,r1,r4,0.366642175,0.633357825,0.186717998,0.813282002
14,r8,r4,0.516129032,0.483870968,0.273051225,0.726948775
15,r9,r4,0.328966521,0.671033479,0.272621133,0.727378867
16,r11,r5,0.17400722,0.82599278,0.088669951,0.911330049
17,r13,r5,0.132330827,0.867669173,0.140057637,0.859942363
18,r15,r5,0.154696133,0.845303867,0.112394958,0.887605042
19,o1,r5,0.12522686,0.87477314,0.148690293,0.851309707
20,r16,r5,0.157850546,0.842149454,0.11827957,0.88172043
21,c3,r5,0.175557711,0.824442289,0.109569028,0.890430972
22,r21,r5,0.156756757,0.843243243,0.134482759,0.865517241
23,r18,r5,0.133715377,0.866284623,0.141167775,0.858832225
24,r6,r5,0.106666667,0.893333333,0.143703704,0.856296296
25,r10,r5,0.15443038,0.84556962,0.061176471,0.938823529
26,r20,r5,0.088948787,0.911051213,0.146870379,0.853129621
27,r17,r5,0.118811881,0.881188119,0.145894861,0.854105139
28,r8,r5,0.161290323,0.838709677,0.136302895,0.863697105
29,r19,r5,0.15530303,0.84469697,0.116666667,0.883333333
30,r9,r5,0.181950509,0.818049491,0.120256859,0.879743141
31,r11,r6,0.130685921,0.869314079,0.191133005,0.808866995
32,r15,r6,0.20441989,0.79558011,0.082983193,0.917016807
33,o1,r6,0.212341198,0.787658802,0.108628659,0.891371341
34,r16,r6,0.088161209,0.911838791,0.223325062,0.776674938
35,c3,r6,0.17070805,0.82929195,0.145361578,0.854638422
36,r21,r6,0.140540541,0.859459459,0.1591133,0.8408867
37,r18,r6,0.100286533,0.899713467,0.199556541,0.800443459
38,r5,r6,0.126888218,0.873111782,0.160947318,0.839052682
39,r10,r6,0.178734177,0.821265823,0.051764706,0.948235294
40,r20,r6,0.245283019,0.754716981,0.139970429,0.860029571
41,r17,r6,0.26874116,0.73125884,0.109273479,0.890726521
42,r19,r6,0.181818182,0.818181818,0.125,0.875
43,r9,r6,0.160116448,0.839883552,0.154699358,0.845300642
44,c1,r7,0.825242718,0.174757282,0.630200308,0.369799692
45,r1,r7,0.836884644,0.163115356,0.688161694,0.311838306
46,r25,r7,0.824970828,0.175029172,0.743357097,0.256642903
47,c2,r7,0.77262528,0.22737472,0.772342427,0.227657573
48,r3,r7,0.725508318,0.274491682,0.81107739,0.18892261
49,r13,r8,0.085714286,0.914285714,0.05648415,0.94351585
50,r2,r8,0.067692308,0.932307692,0.064096386,0.935903614
51,r5,r8,0.084592145,0.915407855,0.06138231,0.93861769
52,r4,r8,0.111111111,0.888888889,0.0456942,0.9543058
53,r9,r8,0.128093159,0.871906841,0.039112668,0.960887332
54,r13,r9,0.377443609,0.622556391,0.25129683,0.74870317
55,r24,r9,0.25210084,0.74789916,0.288031565,0.711968435
56,c3,r9,0.245392823,0.754607177,0.317019722,0.682980278
57,r6,r9,0.290666667,0.709333333,0.285432099,0.714567901
58,r5,r9,0.392749245,0.607250755,0.26921218,0.73078782
59,r4,r9,0.314574315,0.685425685,0.274751025,0.725248975
60,r8,r9,0.535483871,0.464516129,0.269042316,0.730957684
61,r11,r10,0.907581227,0.092418773,0.707389163,0.292610837
62,r15,r10,0.951657459,0.048342541,0.62710084,0.37289916
63,o1,r10,0.879310345,0.120689655,0.775038521,0.224961479
64,r16,r10,0.907640638,0.092359362,0.739454094,0.260545906
65,c3,r10,0.807953443,0.192046557,0.834185537,0.165814463
66,r21,r10,0.940540541,0.059459459,0.801477833,0.198522167
67,r18,r10,0.82139446,0.17860554,0.824094605,0.175905395
68,r6,r10,0.946666667,0.053333333,0.8,0.2
69,r5,r10,0.912386707,0.087613293,0.80860319,0.19139681
70,r20,r10,0.716981132,0.283018868,0.842286841,0.157713159
71,r17,r10,0.817538897,0.182461103,0.825162434,0.174837566
72,r19,r10,0.906818182,0.093181818,0.72037037,0.27962963
73,r15,r11,0.625690608,0.374309392,0.503151261,0.496848739
74,o1,r11,0.591651543,0.408348457,0.564714946,0.435285054
75,r16,r11,0.630562552,0.369437448,0.524400331,0.475599669
76,c3,r11,0.585838991,0.414161009,0.570489408,0.429510592
77,r21,r11,0.721621622,0.278378378,0.550738916,0.449261084
78,r18,r11,0.638013372,0.361986628,0.529933481,0.470066519
79,r6,r11,0.488,0.512,0.593580247,0.406419753
80,r5,r11,0.728096677,0.271903323,0.552924118,0.447075882
81,r10,r11,0.637468354,0.362531646,0.296470588,0.703529412
82,r20,r11,0.385444744,0.614555256,0.612124199,0.387875801
83,r17,r11,0.554455446,0.445544554,0.586532782,0.413467218
84,r19,r11,0.570454545,0.429545455,0.585185185,0.414814815
85,r22,r12,0.069078947,0.930921053,0.07490458,0.92509542
86,outside,r12,0.142857143,0.857142857,0.070583078,0.929416922
87,r25,r12,0.095682614,0.904317386,0.062216461,0.937783539
88,r24,r13,0.411764706,0.588235294,0.270056993,0.729943007
89,r14,r13,0.164396887,0.835603113,0.361516035,0.638483965
90,r5,r13,0.262839879,0.737160121,0.279362011,0.720637989
91,r23,r13,0.655963303,0.344036697,0.239230064,0.760769936
92,r8,r13,0.4,0.6,0.268596882,0.731403118
93,r9,r13,0.371179039,0.628820961,0.239346176,0.760653824
94,r13,r14,0.24962406,0.75037594,0.496829971,0.503170029
95,r24,r14,0.537815126,0.462184874,0.422621657,0.577378343
96,r23,r14,0.243119266,0.756880734,0.446837764,0.553162236
97,r11,r15,0.649097473,0.350902527,0.5408867,0.4591133
98,o1,r15,0.672413793,0.327586207,0.544684129,0.455315871
99,r16,r15,0.530646516,0.469353484,0.674937965,0.325062035
100,c3,r15,0.602327837,0.397672163,0.604090577,0.395909423
101,r21,r15,0.802702703,0.197297297,0.566995074,0.433004926
102,r18,r15,0.601719198,0.398280802,0.604582409,0.395417591
103,r6,r15,0.792,0.208,0.568395062,0.431604938
104,r5,r15,0.667673716,0.332326284,0.593040116,0.406959884
105,r10,r15,0.696708861,0.303291139,0.169411765,0.830588235
106,r20,r15,0.776280323,0.223719677,0.571710202,0.428289798
107,r17,r15,0.482319661,0.517680339,0.653868872,0.346131128
108,r19,r15,0.577272727,0.422727273,0.635185185,0.364814815
109,r11,r16,0.542960289,0.457039711,0.432512315,0.567487685
110,r15,r16,0.437845304,0.562154696,0.585084034,0.414915966
111,o1,r16,0.520871143,0.479128857,0.475346687,0.524653313
112,c3,r16,0.490785645,0.509214355,0.50036523,0.49963477
113,r21,r16,0.445945946,0.554054054,0.505418719,0.494581281
114,r18,r16,0.459407832,0.540592168,0.524759793,0.475240207
115,r6,r16,0.285333333,0.714666667,0.535308642,0.464691358
116,r5,r16,0.580060423,0.419939577,0.482841953,0.517158047
117,r10,r16,0.547341772,0.452658228,0.258823529,0.741176471
118,r20,r16,0.156334232,0.843665768,0.558403154,0.441596846
119,r17,r16,0.588401697,0.411598303,0.457767277,0.542232723
120,r19,r16,0.651515152,0.348484848,0.306481481,0.693518519
121,r11,r17,0.280866426,0.719133574,0.313300493,0.686699507
122,r15,r17,0.236187845,0.763812155,0.383403361,0.616596639
123,o1,r17,0.291288566,0.708711434,0.297380586,0.702619414
124,r16,r17,0.349286314,0.650713686,0.240694789,0.759305211
125,c3,r17,0.290009699,0.709990301,0.298027757,0.701972243
126,r21,r17,0.040540541,0.959459459,0.3408867,0.6591133
127,r18,r17,0.276981853,0.723018147,0.308203991,0.691796009
128,r6,r17,0.501333333,0.498666667,0.256296296,0.743703704
129,r5,r17,0.256797583,0.743202417,0.300628323,0.699371677
130,r10,r17,0.292658228,0.707341772,0.303529412,0.696470588
131,r20,r17,0.447439353,0.552560647,0.26663381,0.73336619
132,r19,r17,0.327272727,0.672727273,0.25462963,0.74537037
133,r11,r18,0.480144404,0.519855596,0.37635468,0.62364532
134,r15,r18,0.436464088,0.563535912,0.43592437,0.56407563
135,o1,r18,0.315789474,0.684210526,0.538520801,0.461479199
136,r16,r18,0.400503778,0.599496222,0.47146402,0.52853598
137,c3,r18,0.48399612,0.51600388,0.400292184,0.599707816
138,r21,r18,0.491891892,0.508108108,0.426108374,0.573891626
139,r6,r18,0.277333333,0.722666667,0.465679012,0.534320988
140,r5,r18,0.422960725,0.577039275,0.438376027,0.561623973
141,r10,r18,0.435949367,0.564050633,0.437647059,0.562352941
142,r20,r18,0.458221024,0.541778976,0.432232627,0.567767373
143,r17,r18,0.404526167,0.595473833,0.449497933,0.550502067
144,r19,r18,0.50530303,0.49469697,0.351851852,0.648148148
145,r11,r19,0.544404332,0.455595668,0.557635468,0.442364532
146,r15,r19,0.529005525,0.470994475,0.581932773,0.418067227
147,o1,r19,0.525408348,0.474591652,0.570878274,0.429121726
148,r16,r19,0.722921914,0.277078086,0.379652605,0.620347395
149,c3,r19,0.561590689,0.438409311,0.541271001,0.458728999
150,r21,r19,0.562162162,0.437837838,0.547783251,0.452216749
151,r18,r19,0.633237822,0.366762178,0.485587583,0.514412417
152,r6,r19,0.632,0.368,0.534814815,0.465185185
153,r5,r19,0.634441088,0.365558912,0.536491058,0.463508942
154,r10,r19,0.607088608,0.392911392,0.284705882,0.715294118
155,r20,r19,0.274932615,0.725067385,0.600295712,0.399704288
156,r17,r19,0.613861386,0.386138614,0.523331364,0.476668636
157,r11,r20,0.102527076,0.897472924,0.225615764,0.774384236
158,r15,r20,0.200276243,0.799723757,0.085084034,0.914915966
159,o1,r20,0.144283122,0.855716878,0.163328197,0.836671803
160,r16,r20,0.048698573,0.951301427,0.258891646,0.741108354
161,c3,r20,0.179437439,0.820562561,0.135865595,0.864134405
162,r21,r20,0.135135135,0.864864865,0.158128079,0.841871921
163,r18,r20,0.162368672,0.837631328,0.148558758,0.851441242
164,r6,r20,0.250666667,0.749333333,0.136790123,0.863209877
165,r5,r20,0.093655589,0.906344411,0.164330594,0.835669406
166,r10,r20,0.136202532,0.863797468,0.24,0.76
167,r17,r20,0.234794908,0.765205092,0.121086828,0.878913172
168,r19,r20,0.078787879,0.921212121,0.247222222,0.752777778
169,r11,r21,0.192779783,0.807220217,0.101477833,0.898522167
